Wall time,Step,Value
1735309556.5775523,9846807,-0.9988250732421875
1735309590.846002,9908296,-1.1842498779296875
1735309624.7447145,9969989,-2.6698265075683594
1735309657.2108033,10031325,-0.5350570678710938
1735309690.6541736,10093179,-4.140895843505859
1735309724.3301709,10154440,-0.6424484252929688
1735309758.749124,10215913,-1.16900634765625
1735309793.3208437,10277387,-1.3596534729003906
1735309827.121973,10339259,-0.5634765625
1735309859.1741846,10399820,-1.6415367126464844
1735309891.6218822,10461151,-0.6786956787109375
1735309923.641412,10522001,-0.524078369140625
1735309956.137917,10582934,-0.3728179931640625
1735309987.9941063,10643232,-0.72412109375
1735310022.2882516,10704886,-0.69586181640625
1735310055.5357792,10765559,-5.135093688964844
1735310088.074013,10826717,-0.7130508422851562
1735310121.296823,10888034,-0.5310440063476562
1735310153.4833424,10948602,-0.5177459716796875
1735310186.4114995,11008786,-4.075557708740234
1735310220.2102869,11069874,-0.536346435546875
1735310256.1407733,11130911,-6.7928924560546875
1735310292.968145,11192583,-0.916534423828125
1735310325.17113,11253662,-0.3414306640625
1735310357.6164331,11314499,-0.6731414794921875
1735310391.6622193,11375398,-1.0064697265625
1735310424.3252296,11436128,-0.7460975646972656
1735310456.8778665,11497097,-6.049997329711914
1735310492.31749,11558668,-1.0514106750488281
1735310526.5478394,11620314,-0.7769546508789062
1735310560.3923333,11681037,-0.746978759765625
1735310593.337438,11742073,-4.536321640014648
1735310626.0590715,11803035,-4.519906997680664
1735310659.075031,11863974,-0.8589401245117188
1735310691.5341992,11925229,-0.7468719482421875
1735310724.1283062,11985992,-1.1928253173828125
1735310756.7553198,12046853,-0.8777122497558594
1735310789.0390365,12108072,-0.588958740234375
1735310821.7112074,12168968,-0.6897201538085938
1735310855.5416439,12230553,-0.5964813232421875
1735310888.038464,12291604,-0.47021484375
1735310923.335022,12353291,-2.824186325073242
1735310955.3642,12414439,-0.4327392578125
1735310988.038597,12475509,-1.9598846435546875
1735311021.0916624,12536553,-0.535186767578125
1735311053.4102175,12597962,-0.34136199951171875
1735311087.9424598,12659455,-0.5760650634765625
1735311122.2640848,12721262,-0.872711181640625
1735311155.0080788,12782552,-0.8199462890625
1735311187.8273861,12843643,-0.865936279296875
1735311220.477158,12904872,-0.630157470703125
1735311253.281536,12965758,-0.6609344482421875
1735311287.9243612,13027579,-2.469463348388672
1735311321.2416997,13088390,-0.912017822265625
1735311353.0630314,13149021,-1.6442070007324219
1735311386.2920585,13210022,-0.9646415710449219
1735311419.97578,13271512,-3.699634552001953
1735311452.6900072,13332277,-0.538116455078125
1735311487.3847632,13393814,-0.4330291748046875
1735311520.0979936,13455077,-0.5080108642578125
1735311552.716033,13515569,-3.9500885009765625
1735311585.244821,13576577,-0.5311737060546875
1735311617.8031223,13637800,-2.1297454833984375
1735311650.8002362,13699149,-0.633453369140625
1735311683.8540437,13759744,-0.9126434326171875
1735311717.407879,13820858,-2.0700645446777344
1735311750.3947732,13882049,-0.9778385162353516
1735311783.4144242,13943210,-0.7198143005371094
1735311816.6973963,14004633,-2.683177947998047
1735311849.0887024,14065749,-2.6234169006347656
1735311883.2504973,14127482,-0.9728889465332031
1735311915.539889,14188523,-0.4738616943359375
1735311948.1977723,14249849,-0.558563232421875
1735311981.5034223,14310583,-0.8211822509765625
1735312013.5323827,14370976,-0.5063343048095703
1735312046.0733016,14432092,-0.4004058837890625
1735312078.726159,14492882,-0.7548065185546875
1735312111.2633636,14553534,-1.7705116271972656
1735312143.550848,14614342,-0.513580322265625
1735312178.55942,14675842,-1.225250244140625
1735312210.920535,14736176,-1.0099639892578125
1735312243.5033543,14796782,-0.7373275756835938
1735312277.1431181,14858010,-3.0516395568847656
1735312309.7672107,14918877,-0.7692546844482422
1735312344.642297,14980541,-1.1588592529296875
1735312374.2073426,15041393,-0.81317138671875
1735312401.8578913,15102394,-1.7876243591308594
1735312430.8343434,15163788,-0.6456298828125
1735312458.124538,15224626,-0.8809051513671875
1735312484.347967,15285904,-0.981109619140625
1735312511.1161869,15346861,-1.0875015258789062
1735312538.2963765,15407591,-1.043853759765625
1735312564.8842626,15468650,-0.7745819091796875
1735312591.321393,15530031,-0.825531005859375
1735312618.291135,15590808,-0.4375762939453125
1735312646.0572476,15652404,-0.558074951171875
1735312672.4326715,15713707,-0.6501541137695312
1735312699.239999,15775041,-1.493408203125
1735312725.8337002,15836270,-0.646728515625
1735312752.5092275,15897514,-0.3664703369140625
1735312779.3212314,15958178,-0.638702392578125
1735312806.0255015,16019186,-0.5649490356445312
1735312832.8528888,16080361,-0.7020187377929688
1735312859.8303707,16141758,-0.801300048828125
1735312885.9593256,16202185,-1.0198211669921875
1735312912.888287,16262915,-0.9248809814453125
1735312939.4881868,16323814,-0.910980224609375
1735312966.7572954,16384406,-0.9560012817382812
1735312993.1504128,16445115,-0.9503402709960938
1735313019.5097582,16506319,-1.0276012420654297
1735313046.107648,16566916,-0.9436492919921875
1735313072.6921837,16627965,-0.9497604370117188
1735313099.7529147,16689299,-0.4875030517578125
1735313126.7560036,16750214,-0.9010009765625
1735313155.3219671,16812064,-0.9603271484375
1735313181.623099,16873318,-0.575836181640625
1735313208.1287575,16933908,-0.5413284301757812
1735313234.1410713,16994460,-0.45207977294921875
1735313260.8515146,17054878,-0.990478515625
1735313287.318244,17115854,-0.7828788757324219
1735313313.8331907,17176976,-0.2065887451171875
1735313340.244839,17237763,-0.753082275390625
1735313367.0076082,17298576,-1.1704864501953125
1735313394.2584057,17359835,-1.1133689880371094
1735313422.1398218,17421548,-1.7397918701171875
1735313448.4831314,17482381,-0.44187164306640625
1735313474.9247875,17542548,-0.9150390625
1735313501.5053432,17603320,-0.6375885009765625
1735313528.3550773,17664580,-1.107940673828125
1735313555.1216867,17725455,-0.6122283935546875
1735313581.6162155,17786382,-0.74847412109375
1735313609.4902296,17848273,-0.6670494079589844
1735313636.0883625,17908958,-0.4518699645996094
1735313662.8075604,17970375,-0.5109100341796875
1735313689.6369803,18031539,-0.8379249572753906
1735313716.5061972,18092815,-0.7906036376953125
1735313743.882122,18153506,-0.7234878540039062
1735313770.8558114,18214576,-1.1045074462890625
1735313797.6722872,18275646,-0.7069282531738281
1735313825.6161773,18337186,-0.9272003173828125
1735313851.6155949,18397648,-0.9014358520507812
1735313879.2542934,18459319,-0.9381866455078125
