Wall time,Step,Value
1735048625.4012825,13711196,9.683796882629395
1735048663.9036756,13771785,10.943408012390137
1735048702.5650933,13832632,8.408394813537598
1735048741.6640046,13893438,7.632493973
1735048780.7301898,13954091,7.041848182678223
1735048818.9307635,14014920,8.157760620117188
1735048857.4281754,14076324,5.716381072998047
1735048896.5641706,14137713,9.133742332458496
1735048935.749379,14198162,8.470273018
1735048974,14258503,6.443879604
1735049013.2196853,14319198,9.187494277954102
1735049052.325195,14380176,12.909041404724121
1735049090.9028866,14440880,10.2409029
1735049129.2788363,14502263,10.47058391571045
1735049167.7731986,14563362,10.22132682800293
1735049207.6989615,14624777,8.773037910461426
1735049248.2771792,14685406,11.879144668579102
1735049287.7418537,14746263,6.4533843994140625
1735049326.1110506,14806708,8.769638061523438
1735049364.3902328,14867221,10.584965705871582
1735049402.6415145,14928130,6.160350799560547
1735049440.9414456,14989262,11.23936653137207
1735049479.5467312,15050202,10.248574256896973
1735049519.061965,15110702,11.612183570861816
1735049557.6463845,15171414,9.091717720031738
1735049595.8006349,15231888,7.837089538574219
1735049634.7529714,15292617,8.286302567
1735049672.9764833,15353354,10.043815612792969
1735049711.047442,15414662,12.793778419494629
1735049749.5693626,15475530,10.998163223266602
1735049788.5568306,15536418,6.892235279083252
1735049827.224636,15597126,10.330137252807617
1735049865.545353,15657786,6.885386943817139
1735049904.067701,15718026,8.52794075
1735049944.2976348,15779806,9.178279876708984
1735049982.438116,15840575,7.357093334197998
1735050021.0572755,15901933,12.47220516204834
1735050059.2391155,15962424,12.18994426727295
1735050098.5666292,16022815,9.821835518
1735050137.2489886,16084245,10.215439796447754
1735050175.6109188,16145288,12.401496887207031
1735050214.0845046,16205565,11.557008743286133
1735050252.0233471,16266118,8.464747428894043
1735050291.0313678,16327023,7.3620524406433105
1735050331.7338195,16388580,10.43295669555664
1735050371.9917119,16450094,10.611905097961426
1735050412.6243365,16511851,8.261920928955078
1735050450.966105,16572681,8.647439002990723
1735050489.238105,16633572,10.153159141540527
1735050528.2118113,16694865,10.625496864318848
1735050566.4630628,16755509,11.438970565795898
1735050604.894794,16816739,9.166403770446777
1735050644.0487285,16877507,6.560332775115967
1735050682.6748285,16938050,7.483851909637451
1735050720.6903398,16998336,7.191898822784424
1735050759,17059139,10.652115821838379
1735050800.0953004,17120740,10.306029319763184
1735050838.5547752,17181617,11.934197425842285
1735050876.8129687,17242319,10.168747901916504
1735050914.8143392,17302850,7.200319290161133
1735050953.294754,17363438,8.212601661682129
1735050992.3168464,17424369,9.682003021240234
1735051031.2416253,17484733,11.132699012756348
1735051069.3819537,17545746,9.218626976013184
1735051110.223175,17607643,11.88835334777832
1735051148.876944,17668423,11.077169418334961
1735051186.850652,17729440,8.847146987915039
1735051225.226927,17790210,10.778950691223145
1735051263.5893385,17850882,10.089051246643066
1735051304.1458187,17912059,7.185903549194336
1735051342.9318507,17972619,8.614556312561035
1735051381.5928667,18033693,10.539999961853027
1735051420,18094431,10.210906982421875
1735051458.5311007,18154998,8.857339859008789
